MSID,MSName,ZSID,ZSName,Achse,HNr,Hoehe,EKoord,NKoord,Richtung,Knummer,Kname,AnzDetektoren,D1ID,D2ID,D3ID,D4ID,lon,lat
Z001M001,Unbekannt,Z001,Seestrasse (Strandbad Wollishofen),Seestrasse,451,Unbekannt,2683009.89,1243936.2,auswärts,789,Badanstalt Wollishofen,1,2,Unbekannt,Unbekannt,Unbekannt,8.537068036893146,47.341058530420376
Z001M002,Unbekannt,Z001,Seestrasse (Strandbad Wollishofen),Seestrasse,451,Unbekannt,2683013.18,1243937.64,einwärts,789,Badanstalt Wollishofen,1,1,Unbekannt,Unbekannt,Unbekannt,8.537111833404706,47.34107106679844
Z002M001,Unbekannt,Z002,Albisstrasse (Widmerstrasse),Albisstrasse,152,Unbekannt,2682480.51,1243162.5,auswärts,679,Albis-/Paradies-/Widmerstr (Schulweg),1,13,Unbekannt,Unbekannt,Unbekannt,8.529921464289464,47.33416670595236
Z002M002,Unbekannt,Z002,Albisstrasse (Widmerstrasse),Albisstrasse,152,Unbekannt,2682484.91,1243162.41,einwärts,679,Albis-/Paradies-/Widmerstr (Schulweg),1,14,Unbekannt,Unbekannt,Unbekannt,8.52997965640755,47.334165346180285
Z003M001,Unbekannt,Z003,Sood-/Leimbachstrasse,Soodstrasse,Unbekannt,Leimbachstrasse,2681573.79,1242969.91,auswärts,669,Leimbach-/Soodstr,1,16,Unbekannt,Unbekannt,Unbekannt,8.517891174463774,47.33254743168517
Z003M002,Unbekannt,Z003,Sood-/Leimbachstrasse,Leimbachstrasse,64,Unbekannt,2681607.86,1243010.95,einwärts,669,Leimbach-/Soodstr,1,18,Unbekannt,Unbekannt,Unbekannt,8.518349352547869,47.33291231033498
Z004M001,Unbekannt,Z004,Birmensdorferstrasse (Triemli),Birmensdorferstrasse,Unbekannt,90m ab Knoten,2679762.52,1246863.95,auswärts,780,Birmensdorfer-/Triemlistr,1,1,Unbekannt,Unbekannt,Unbekannt,8.494623260545984,47.36779007207363
Z004M002,Unbekannt,Z004,Birmensdorferstrasse (Triemli),Birmensdorferstrasse,Unbekannt,vor Knoten,2679771.84,1246852.29,einwärts,780,Birmensdorfer-/Triemlistr,2,2,3,Unbekannt,Unbekannt,8.494744558294375,47.36768408027976
Z005M001,Unbekannt,Z005,Albisriederstrasse (Lyrenweg),Albisriederstrasse,Unbekannt,Lyrenweg,2678874.03,1247598.55,auswärts,785,Albisriederstr/Lyrenweg,1,2,Unbekannt,Unbekannt,Unbekannt,8.482991115336937,47.374503607417246
Z005M002,Unbekannt,Z005,Albisriederstrasse (Lyrenweg),Albisriederstrasse,Unbekannt,Lyrenweg,2678871.97,1247592.79,einwärts,785,Albisriederstr/Lyrenweg,1,1,Unbekannt,Unbekannt,Unbekannt,8.482962827328816,47.37445205165538
